Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose"
0.9491822429906541,0.5417071227860372,2.7581060055808924,183.99307696867425,180.1737173119313,160.55546943438796,190.11558045873488,183.6426953174881,177.2967424316302,"0.549, 0.303","0.419, 0.311","0.520, 0.451","0.437, 0.462","0.506, 0.534","0.436, 0.534","0.528, 0.675","0.420, 0.697","0.487, 0.574","0.453, 0.590","0.546, 0.860","0.411, 0.863","0.484, 0.246"
1.0221962616822429,3.817060739283761,0.778671378366649,183.6305763013791,181.73263921368408,161.86109196254463,191.62867010617657,182.71200471870583,176.33828904950383,"0.548, 0.304","0.418, 0.311","0.512, 0.450","0.433, 0.461","0.507, 0.538","0.438, 0.537","0.529, 0.690","0.420, 0.692","0.474, 0.573","0.442, 0.588","0.546, 0.860","0.411, 0.863","0.482, 0.246"
1.0952102803738317,7.390628028238683,2.486291111154917,182.37670554536683,181.57856585645328,162.13620426035598,193.43666153180814,183.2380487227107,175.17065691677092,"0.546, 0.306","0.416, 0.309","0.503, 0.448","0.425, 0.455","0.507, 0.540","0.439, 0.538","0.531, 0.701","0.420, 0.685","0.462, 0.566","0.428, 0.582","0.546, 0.860","0.411, 0.863","0.481, 0.246"
1.1682242990654206,10.334956298059586,5.390062568758861,185.26070148743486,185.1865037312724,162.35680448053105,194.15929261469037,183.96538007220977,174.54297808157904,"0.544, 0.307","0.416, 0.307","0.496, 0.444","0.417, 0.448","0.507, 0.544","0.440, 0.540","0.532, 0.700","0.420, 0.678","0.446, 0.555","0.406, 0.577","0.545, 0.861","0.411, 0.863","0.480, 0.248"
1.241238317757009,15.090300372172562,8.836704723326674,188.2691491112911,186.53881688631392,162.6745498160533,194.0160520955048,184.42582968832752,174.33408630994364,"0.541, 0.310","0.415, 0.304","0.483, 0.444","0.408, 0.441","0.507, 0.545","0.439, 0.541","0.532, 0.700","0.418, 0.686","0.415, 0.555","0.387, 0.568","0.545, 0.863","0.411, 0.863","0.477, 0.257"
1.314252336448598,19.253043085294507,11.089453072228256,185.6537046391713,189.50927341092356,162.23793088486127,192.92529666652837,185.29103467542308,175.20588090582692,"0.538, 0.310","0.414, 0.302","0.474, 0.436","0.401, 0.435","0.506, 0.545","0.438, 0.542","0.533, 0.702","0.418, 0.690","0.407, 0.539","0.369, 0.554","0.545, 0.863","0.411, 0.863","0.477, 0.257"
1.3872663551401867,24.12955031328994,14.522405132488098,184.1459718716055,192.18558696716073,162.3359964481286,191.84662413214824,185.80440063887707,175.957477427939,"0.535, 0.310","0.413, 0.299","0.466, 0.423","0.393, 0.425","0.504, 0.546","0.436, 0.544","0.533, 0.707","0.418, 0.699","0.404, 0.508","0.352, 0.530","0.545, 0.863","0.411, 0.863","0.476, 0.257"
1.4602803738317756,30.66098093776774,17.512156640895668,181.52451066218796,197.7753177718782,163.33185247480858,191.74408106387585,186.1130565669394,175.94031172226184,"0.530, 0.310","0.413, 0.296","0.446, 0.422","0.387, 0.415","0.504, 0.548","0.436, 0.546","0.534, 0.711","0.418, 0.702","0.386, 0.498","0.334, 0.507","0.546, 0.863","0.411, 0.863","0.476, 0.257"
1.5332943925233644,36.045591208896,17.974789782401828,193.63638003274642,199.7801739206246,164.54850006558885,191.37510439570474,186.3984847821729,176.02845008333884,"0.524, 0.314","0.414, 0.292","0.432, 0.420","0.387, 0.407","0.504, 0.550","0.436, 0.546","0.535, 0.714","0.418, 0.706","0.339, 0.486","0.334, 0.490","0.546, 0.864","0.411, 0.863","0.474, 0.257"
1.606308411214953,40.28806159061696,19.86229396371058,200.54327772027318,202.7870167071352,165.48757600975944,190.9465554227269,186.12973493714784,176.34859704617816,"0.521, 0.315","0.414, 0.290","0.421, 0.416","0.382, 0.409","0.504, 0.550","0.436, 0.546","0.535, 0.718","0.418, 0.709","0.322, 0.463","0.327, 0.481","0.546, 0.865","0.411, 0.865","0.472, 0.257"
1.679322429906542,44.85468213547158,20.205691456862738,199.88238009271615,209.0552709183948,166.66718600732162,190.42926042478248,186.14585271403558,176.58906904979892,"0.515, 0.315","0.415, 0.287","0.416, 0.405","0.383, 0.402","0.503, 0.550","0.435, 0.546","0.535, 0.720","0.418, 0.710","0.308, 0.450","0.320, 0.465","0.546, 0.867","0.411, 0.865","0.469, 0.255"
1.7523364485981308,50.8974446686823,22.125004828038456,203.14986458692286,215.97411796776785,168.34275256621515,189.46409051192273,185.85821556805692,176.70117793575693,"0.509, 0.315","0.419, 0.281","0.407, 0.393","0.384, 0.385","0.503, 0.550","0.435, 0.546","0.534, 0.721","0.418, 0.712","0.303, 0.421","0.323, 0.429","0.546, 0.868","0.411, 0.865","0.464, 0.253"
1.8253504672897194,56.057154347381825,26.635746839240785,209.20260326411196,233.03473086974785,169.54748001814568,189.35527897215744,185.12120300007103,176.37741204223715,"0.504, 0.315","0.420, 0.278","0.400, 0.384","0.378, 0.375","0.503, 0.550","0.435, 0.546","0.533, 0.724","0.417, 0.716","0.294, 0.392","0.305, 0.393","0.546, 0.868","0.411, 0.865","0.461, 0.249"
1.8983644859813082,60.486952200149574,12.938288902067693,209.94763737424236,154.22030996173638,170.52018517538897,187.97978066325422,184.4708390208511,176.40719394595047,"0.499, 0.315","0.426, 0.273","0.396, 0.375","0.405, 0.379","0.501, 0.550","0.435, 0.545","0.532, 0.725","0.417, 0.715","0.293, 0.375","0.421, 0.437","0.546, 0.868","0.411, 0.865","0.454, 0.248"
1.971378504672897,65.46379370344224,11.207560428144312,140.90892459654768,154.05844215253552,171.53556664195497,187.15193101519824,184.16237330037063,176.3890470607716,"0.494, 0.314","0.429, 0.271","0.389, 0.365","0.410, 0.380","0.500, 0.550","0.435, 0.546","0.531, 0.724","0.417, 0.714","0.293, 0.343","0.429, 0.450","0.546, 0.869","0.411, 0.865","0.446, 0.244"
