Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Lateral Bending Angle,Leaning
0.0,23.863605143346504,29.63079350511813,160.30467113636468,163.79326721986294,147.03651159402557,146.2942062199988,206.56204365828944,198.3917087493143,"0.44051116704940796, 0.37490659952163696","0.4543645977973938, 0.38095858693122864","0.4535042643547058, 0.4829018712043762","0.4634554386138916, 0.4970678389072418","0.37803810834884644, 0.5792056322097778","0.3585696220397949, 0.5849589705467224","0.4161784052848816, 0.7125656604766846","0.3809199631214142, 0.7335879802703857","0.4988163113594055, 0.5735629200935364","0.5000610947608948, 0.5940257906913757","0.38827335834503174, 0.8616493344306946","0.3514375686645508, 0.9035681486129761","0.5226619243621826, 0.34012025594711304",-21.18769492346037,Leading Side
0.0333667000333667,25.188933908463845,27.64104550511708,161.69648622625664,162.41066635915965,145.86661696700835,147.3082835671884,206.7484046369772,198.37983679721023,"0.443023145198822, 0.37468594312667847","0.4522687494754791, 0.375934898853302","0.4571007788181305, 0.48396173119544983","0.45939168334007263, 0.4928719401359558","0.37722936272621155, 0.5790195465087891","0.3585709035396576, 0.5848576426506042","0.4162229001522064, 0.7124946713447571","0.38091352581977844, 0.7337087392807007","0.5001100897789001, 0.5735512375831604","0.4978764057159424, 0.5927368402481079","0.3885408937931061, 0.8623911738395691","0.3514379858970642, 0.9035859107971191","0.5210826992988586, 0.33947110176086426",-21.103532771009956,Leading Side
0.0667334000667334,25.64750710569315,26.770300622968225,161.946028445572,161.4565687831968,145.26144780674286,147.75419412887126,206.7529587539623,198.35973490191472,"0.444638192653656, 0.37451454997062683","0.4513140618801117, 0.3739147186279297","0.4587722718715668, 0.4846586585044861","0.4575344920158386, 0.49115484952926636","0.376921147108078, 0.5788522958755493","0.35861098766326904, 0.5847662091255188","0.41624194383621216, 0.7124229669570923","0.3809148073196411, 0.7337802052497864","0.5009130239486694, 0.5735413432121277","0.4976436197757721, 0.5925595760345459","0.38873735070228577, 0.8630315065383911","0.3514384627342224, 0.9035971760749817","0.5203837752342224, 0.3389904201030731",-21.125451191333802,Leading Side
0.1001001001001001,26.859538177092308,24.26904922990616,163.7682806468223,159.2476468766823,144.80095165944772,147.86478027725784,206.72170542134063,198.3561005104747,"0.44613200426101685, 0.3751879930496216","0.45088204741477966, 0.37369757890701294","0.46193036437034607, 0.48648279905319214","0.4521583616733551, 0.48730435967445374","0.37687763571739197, 0.5788503289222717","0.3585967421531677, 0.5846754312515259","0.41624483466148376, 0.7124475836753845","0.38090980052948, 0.7338005304336548","0.502575159072876, 0.5764553546905518","0.49146419763565063, 0.5876215696334839","0.3888495862483978, 0.8631489872932434","0.3514407277107239, 0.9035906791687012","0.5202472805976868, 0.3389400839805603",-21.28539117649832,Leading Side
0.1334668001334668,26.51435866454962,24.34404016405887,163.06258012397248,159.22305345092357,145.14794811125958,147.9419650502224,206.27130389231877,198.33567390907325,"0.4460139274597168, 0.37529003620147705","0.4508283734321594, 0.3733798563480377","0.46142786741256714, 0.48811930418014526","0.4523577094078064, 0.48719868063926697","0.3769700229167938, 0.5788599252700806","0.358628511428833, 0.5846760272979736","0.4156990945339203, 0.712891697883606","0.3808765113353729, 0.7338292002677917","0.5026443004608154, 0.5776618719100952","0.49204903841018677, 0.5877203345298767","0.38881078362464905, 0.8630157709121704","0.3514370024204254, 0.9033507108688354","0.5204097032546997, 0.33841121196746826",-21.239343863225088,Leading Side
0.1668335001668335,26.268407104743,24.268425103229177,162.59710506747675,159.99159301400215,145.461414196114,148.02631844309295,205.97522220910244,198.30882157095448,"0.4461946487426758, 0.3754503130912781","0.450691282749176, 0.3732457458972931","0.46129631996154785, 0.4892210066318512","0.4521746039390564, 0.48637622594833374","0.37731438875198364, 0.5788630247116089","0.3586837947368622, 0.584674596786499","0.4153960347175598, 0.7131606936454773","0.3808597922325134, 0.7338330745697021","0.5033116936683655, 0.579471230506897","0.4900277256965637, 0.5862373113632202","0.3885959982872009, 0.8629499673843384","0.35142597556114197, 0.9033129811286926","0.5203656554222107, 0.33848637342453003",-21.197756199600075,Leading Side
0.2002002002002002,26.09404141585926,24.49360056234213,162.167364550504,160.55956578577005,145.59812238751738,148.05973184520525,205.8517188591016,198.308113365496,"0.44634634256362915, 0.37560999393463135","0.4507056176662445, 0.3731669485569","0.4611615240573883, 0.4900576174259186","0.45268067717552185, 0.48664554953575134","0.3774507939815521, 0.5789409875869751","0.3587453365325928, 0.5846965909004211","0.4151596128940582, 0.7132408022880554","0.3808855414390564, 0.733841061592102","0.5035173892974854, 0.5800336599349976","0.49018779397010803, 0.5872972011566162","0.38832205533981323, 0.8628772497177124","0.3514271080493927, 0.903252899646759","0.5200251340866089, 0.3390626609325409",-21.19303616347817,Leading Side
0.2335669002335669,25.972585889256617,25.165371242450263,161.8079698946828,161.380379473337,145.69793832059776,148.0865845747783,205.7788110348909,198.36596453099548,"0.44630616903305054, 0.3756254017353058","0.45073771476745605, 0.3726434111595154","0.46101266145706177, 0.49090027809143066","0.45416849851608276, 0.48680487275123596","0.3774515688419342, 0.5790218114852905","0.35877853631973267, 0.5847012400627136","0.41492924094200134, 0.7132530212402344","0.3809865117073059, 0.7338434457778931","0.5035085678100586, 0.5801454186439514","0.49237412214279175, 0.5898616313934326","0.3880874514579773, 0.8627485036849976","0.3514437973499298, 0.9031751751899719","0.5192312598228455, 0.3394390046596527",-21.160394215492314,Leading Side
0.2669336002669336,25.952065734168848,25.3225015576011,161.8008093928896,161.28906562013904,145.7736767702346,148.1098632995213,205.77495750004925,198.401745879066,"0.44625306129455566, 0.3756646513938904","0.45078015327453613, 0.3723960816860199","0.4609815180301666, 0.4909263551235199","0.4546021521091461, 0.48706188797950745","0.3775017559528351, 0.579131007194519","0.35884496569633484, 0.5847090482711792","0.4148353934288025, 0.7132407426834106","0.3810711205005646, 0.7338427305221558","0.5034818649291992, 0.580105721950531","0.4935649335384369, 0.5906109809875488","0.38790637254714966, 0.8626254200935364","0.35144752264022827, 0.9031411409378052","0.5187968611717224, 0.33987271785736084",-21.13005254107587,Leading Side
0.3003003003003003,26.130018247969197,25.250604411254297,162.08753167001376,161.43046936011666,145.82498689689115,148.176845853275,205.85800215066644,198.37572197684491,"0.4455128610134125, 0.375694215297699","0.45079857110977173, 0.3723243772983551","0.46087759733200073, 0.49086546897888184","0.4544829726219177, 0.48509374260902405","0.37731805443763733, 0.5791389346122742","0.35898393392562866, 0.5847059488296509","0.4147701859474182, 0.7128823399543762","0.38111281394958496, 0.733772873878479","0.5034149289131165, 0.5800015926361084","0.4936214089393616, 0.5901046991348267","0.3878348171710968, 0.8623706102371216","0.3514668047428131, 0.9030807614326477","0.5186664462089539, 0.34064289927482605",-21.04666347084162,Leading Side
0.333667000333667,26.331563582616248,25.2450660051862,162.51737845257475,161.60180456134404,145.89437419544578,148.24318313762134,205.94312729354684,198.3378216228386,"0.4447743892669678, 0.37569573521614075","0.4509039521217346, 0.3723715543746948","0.4608360826969147, 0.4905907213687897","0.45458030700683594, 0.48418575525283813","0.377199649810791, 0.5791470408439636","0.35919058322906494, 0.5846958160400391","0.4147658944129944, 0.712506115436554","0.38117820024490356, 0.7336872816085815","0.5033329129219055, 0.5799250602722168","0.49364957213401794, 0.5899094343185425","0.38780397176742554, 0.8621892929077148","0.35149750113487244, 0.9030011892318726","0.5185977816581726, 0.3407905101776123",-20.962375685795383,Leading Side
0.3670337003670337,24.327059372442992,25.15649859269852,158.30472942832847,161.4069150114076,145.4403363076938,148.28719709691418,206.3811250223804,198.2966560005727,"0.44370967149734497, 0.37569382786750793","0.45116257667541504, 0.37262335419654846","0.4556533694267273, 0.48986729979515076","0.4546468257904053, 0.48447614908218384","0.37621739506721497, 0.579115629196167","0.35951289534568787, 0.5846945643424988","0.4147666096687317, 0.7117631435394287","0.38131576776504517, 0.7334116697311401","0.5026019215583801, 0.5794153809547424","0.49382176995277405, 0.5899423360824585","0.38779497146606445, 0.8620184063911438","0.35156840085983276, 0.9028757214546204","0.5189054608345032, 0.3407886028289795",-20.95781806492131,Leading Side
0.4004004004004004,23.75929047119024,25.084667070826622,157.002494876795,161.2785620359825,145.11968971188728,148.35540683510902,206.64125399448812,198.23897246549424,"0.44324660301208496, 0.37570229172706604","0.4513176381587982, 0.3728061616420746","0.45396238565444946, 0.4897073805332184","0.45467424392700195, 0.48468321561813354","0.3756413757801056, 0.5790541768074036","0.3597749173641205, 0.5846921801567078","0.4147651195526123, 0.7112125158309937","0.3813832700252533, 0.7332033514976501","0.5022579431533813, 0.5791505575180054","0.4938987195491791, 0.58992999792099","0.38778549432754517, 0.8619049787521362","0.3516107201576233, 0.9027345776557922","0.5191318392753601, 0.3407866656780243",-20.970295446388462,Leading Side
